,koi_period,koi_duration,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,label
1347,161.7881939,5.3149,31.24,348,6092,4.471,0.998,0
1352,140.10394,17.654,4.16,559,6231,3.797,2.397,0
1370,54.35637078,6.4393,33.13,598,6058,4.144,1.418,0
1399,67.8318309,7.206,2.35,479,6299,4.472,0.983,0
1413,89.69818152,5.60686,103.06,554,6214,4.021,1.583,0
1417,185.0228788,4.85043,101.66,344,6195,4.437,1.029,0
1422,107.7215744,8.112,3.83,390,5888,4.444,1.019,0
1443,86.67855186,10.1386,9.88,446,6177,4.42,1.043,0
1448,51.59804248,2.0133,6.85,450,5693,4.551,0.856,0
1450,161.5280101,3.6935,6.15,318,5870,4.545,0.867,0
1457,90.1244628,11.747,7.65,478,6444,4.376,1.2,0
1472,83.4463335,6.521,2.52,479,6322,4.364,1.131,0
1487,475.95433,11.85,1.8,173,5209,4.711,0.591,0
1496,100.3036002,10.769,66.06,313,5055,4.566,0.772,0
1499,302.3886858,3.0907,34.99,228,5324,4.546,0.733,0
1523,64.6174465,5.727,5.41,383,5043,4.47,0.881,0
1528,158.6853308,11.677,3.73,390,6126,4.279,1.186,0
1552,55.6641243,23.322,35.67,434,5588,4.527,0.853,0
1557,359.044542,28.944,9.2,260,5609,4.346,1.048,0
1558,119.0624476,3.0992,9.5,366,5697,4.392,0.92,0
1562,119.675993,7,5.56,379,6075,4.486,0.969,0
1570,53.5293487,5.577,2.39,353,4744,4.606,0.725,0
1591,51.075756,10.851,3.36,696,4991,3.615,2.935,0
1595,137.7596012,9.1961,30.68,308,5228,4.467,0.87,0
1599,165.7419042,24.838,56.25,695,5015,2.99,7.062,0
1600,119.4082353,9.3389,11.5,275,5064,4.653,0.606,0
1606,54.4205407,8.559,3.2,574,6781,4.422,1.067,0
1615,99.6443146,5.1243,9.35,464,6459,4.371,1.189,0
1622,85.34090859,10.5986,7157.69,409,6004,4.522,0.898,0
1627,78.9257106,7.5664,12.04,396,5737,4.544,0.872,0
1629,86.64763676,4.2624,7.62,366,5321,4.463,0.858,0
1632,148.2722671,4.09,4.52,321,5717,4.538,0.884,0
1635,133.4605235,11.611,7.54,369,6063,4.476,1.012,0
1643,268.9412889,5.4226,10.58,298,6201,4.472,0.989,0
1647,162.0540766,9.8894,10.51,438,6628,4.235,1.389,0
1650,50.28638192,6.3668,3.2,479,5642,4.429,0.945,0
1668,117.9310878,5.8091,10.89,428,6387,4.374,1.111,0
1678,92.749023,7.695,38.67,321,5189,4.604,0.72,0
1679,52.5010768,14.9315,12.39,816,4995,3.331,4.16,0
1683,55.63934,7.119,2.96,478,5949,4.493,0.962,0
1697,83.5783259,7.255,3.78,520,6190,4.185,1.401,0
1712,53.10094789,2.27432,15.99,407,5378,4.576,0.74,0
1714,80.9669568,2.5476,5.39,364,5610,4.61,0.737,0
1717,94.222959,27.54,2.77,285,4641,4.589,0.694,0
1721,56.6388791,8.043,3.62,508,5918,4.349,1.068,0
1724,188.456071,24.103,1.99,277,5421,4.564,0.852,0
1725,127.8338098,10.8773,7.57,498,6205,4.017,1.689,0
1749,125.8654339,9.0065,18.17,487,6279,4.095,1.598,0
1752,51.92927591,5.3083,5.14,449,5735,4.559,0.833,0
1759,104.8206039,4.4697,6.64,376,5986,4.527,0.85,0
1763,59.877824,4.7539,2.17,272,4014,4.663,0.596,0
1774,54.1561078,4.317,3.81,466,5798,4.507,0.941,0
1776,251.0600596,5.0783,50.2,295,5713,4.364,1.019,0
1782,321.2125073,3.961,5.06,268,5982,4.468,0.901,0
1819,305.0763426,6.251,7.61,279,5721,4.377,1.12,0
1833,63.3366606,3.37,1.23,199,3517,4.881,0.37,0
1835,124.4198398,3.6612,4.67,304,5446,4.616,0.72,0
1839,74.92771752,4.7917,7.54,466,6150,4.423,1.04,0
1840,150.0190609,4.3712,13.54,369,6150,4.423,1.04,0
1844,205.912082,10.373,4.83,297,5717,4.462,0.897,0
1847,77.4740724,4.176,2.89,291,4549,4.634,0.652,0
1848,345.1598738,7.5266,7.95,245,5628,4.503,0.953,0
1862,394.6244904,23.9917,8.26,337,5858,3.953,1.886,0
1878,121.5977085,14.9472,38.45,358,6036,4.551,0.847,0
1889,281.5626054,8.8699,9.86,199,4769,4.635,0.674,0
1895,85.35129427,6.7568,5.56,370,5635,4.569,0.804,0
1897,69.7266406,5.4861,30.64,551,6287,4.241,1.423,0
1901,56.3592236,6.857,5.26,419,5446,4.525,0.821,0
1902,169.49954,8.674,9.89,267,5272,4.598,0.719,0
1903,76.13602028,7.9602,5.41,425,5565,4.371,1.006,0
1909,185.9526143,3.6474,36.26,300,5850,4.555,0.844,0
1912,127.2824031,7.1515,9.32,352,5938,4.532,0.883,0
1933,150.242127,10.979,3.79,291,5514,4.608,0.739,0
1950,57.132667,5.356,1.67,387,5192,4.583,0.802,0
1959,192.662987,4.607,2.83,295,5734,4.527,0.861,0
1969,70.6979061,6.624,2.26,505,6174,4.316,1.147,0
1986,77.63425713,4.1309,10.09,325,4812,4.548,0.755,0
1987,52.75875577,6.6068,9.04,545,6244,4.402,1.154,0
2004,53.44945593,5.3228,6.04,486,5919,4.485,1,0
2018,114.7363519,11.878,9.51,444,5991,4.205,1.293,0
2019,573.95023,16.614,4.96,259,5991,4.205,1.293,0
2029,144.547396,14.962,2.6,304,5514,4.566,0.808,0
2030,186.4359211,5.809,6.64,278,5570,4.581,0.766,0
2035,52.9716597,3.5105,23.37,402,5204,4.55,0.789,0
2052,105.3585964,3.827,2.09,203,3880,4.765,0.49,0
2054,56.476167,6.08,3.33,448,5795,4.528,0.853,0
2055,92.8750347,7.048,2.38,380,5795,4.528,0.853,0
2061,62.9228557,11.298,2.23,424,5735,4.549,0.854,0
2065,72.4915212,3.602,4.68,442,5751,4.371,0.943,0
2071,232.058029,11.751,2.01,316,5897,4.357,1.081,0
2077,94.093962,10.797,1.02,483,6044,4.192,1.327,0
2085,69.8347011,8.269,3.47,765,7732,4.075,2.022,0
2086,110.9216255,5.1045,2.08,354,5743,4.516,0.828,0
2119,100.8274113,8.281,4.05,363,5638,4.529,0.903,0
2120,51.300634,6.987,2.9,492,6032,4.508,0.929,0
2125,51.3895448,5.45,2.68,522,6084,4.42,1.025,0
2138,61.0370117,8.851,2.5,509,6372,4.453,1.015,0
