,koi_period,koi_duration,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,label
4038,95.17831669,3.61191,28.43,272,4523,4.615,0.653,0
4040,61.49113446,9.7505,23.35,438,5830,4.54,0.876,0
4050,83.266321,2.888,2.58,421,5996,4.489,0.956,0
4053,208.55037,9.826,2.06,299,5881,4.481,0.848,0
4059,82.177374,9.165,2.2,441,6247,4.489,0.954,0
4061,77.36242689,12.1619,43.05,362,5357,4.571,0.79,0
4067,52.80275769,5.6284,29.01,470,5830,4.498,0.894,0
4070,91.50028828,19.5503,22.46,337,5269,4.562,0.781,0
4071,65.941326,7.662,2.35,454,5982,4.493,0.96,0
4084,57.06003492,7.58115,24.14,454,5933,4.547,0.861,0
4097,54.06132616,4.484,90.89,514,5786,4.318,1.112,0
4102,56.04809312,4.06214,38.85,400,5222,4.518,0.78,0
4104,50.35544781,5.56448,32.89,492,5936,4.501,0.965,0
4105,54.6495759,8.405,2.26,517,6112,4.418,1.066,0
4118,82.294751,7.009,1.67,408,6004,4.534,0.85,0
4119,92.4362973,5.709,2.59,349,5598,4.6,0.745,0
4120,65.427387,9.559,1.63,453,6014,4.504,0.926,0
4123,61.569462,8.713,1.62,449,5880,4.518,0.917,0
4130,91.080482,9.65,3.34,415,5915,4.437,1.008,0
4131,85.273256,9.462,3.01,443,5922,4.349,1.057,0
4132,58.58505713,3.58461,120.63,590,6391,4.226,1.332,0
4142,58.7700093,7.135,1.65,508,6158,4.397,1.013,0
4144,64.6588017,7.549,1.79,487,6197,4.449,1.035,0
4159,58.940262,5.826,3.08,439,5853,4.555,0.83,0
4162,96.16987,7.471,2.14,324,5334,4.617,0.71,0
4164,60.32665084,1.7072,29.78,260,3842,4.664,0.598,0
4166,82.304003,13.843,2.27,391,5751,4.53,0.848,0
4169,62.12765716,5.26683,40.17,402,5344,4.494,0.807,0
4180,62.596366,12.494,1.19,445,5951,4.523,0.851,0
4191,60.5331174,7.053,2.02,421,5632,4.553,0.846,0
4194,67.45106738,8.7579,28.99,562,4847,3.726,2.191,0
4197,52.607947,8.232,1.13,437,5751,4.587,0.767,0
4202,75.13182361,20.8234,26.65,359,5365,4.586,0.729,0
4207,82.331714,8.454,1.75,445,6233,4.472,0.988,0
4208,84.703921,10.447,2.97,473,6286,4.368,1.132,0
4211,89.73971018,3.25847,38.3,364,5791,4.607,0.75,0
4212,90.08263193,19.767,25.96,495,6514,4.322,1.225,0
4214,89.3310748,11.758,7.85,559,6867,4.23,1.473,0
4226,73.7506501,13.234,1.46,449,6085,4.467,0.962,0
4235,190.799332,8.235,1.68,345,6362,4.462,0.992,0
4237,124.9354878,7.5367,53.75,351,5883,4.53,0.892,0
4238,119.6796818,32,198.19,847,8275,3.726,3.251,0
4241,428.351205,26.393,45.41,220,5662,4.532,0.806,0
4242,82.13760666,5.5528,241.28,507,6395,4.285,1.207,0
4244,66.36092962,20.2313,63.37,420,5583,4.463,0.857,0
4246,135.5860483,5.59222,72.72,383,6074,4.391,1.063,0
4247,131.9782683,7.17216,154.52,457,4916,3.717,2.182,0
4248,241.0715127,11.0083,21093.1,631,9541,4.096,2.259,0
4249,106.1759232,10.4204,54.87,441,6038,4.254,1.141,0
4250,184.646806,19.047,76.72,320,5713,4.414,1.023,0
4252,143.1188862,16.8583,54.49,321,5713,4.551,0.856,0
4253,76.81984562,5.11819,48.14,382,5668,4.579,0.785,0
4254,165.4057521,13.6481,114.44,515,6061,3.759,2.185,0
4255,71.66193278,6.39948,56.06,365,5075,4.497,0.824,0
4257,70.58286133,8.82229,50.86,435,5973,4.516,0.904,0
4258,286.175728,16.012,67.56,276,5904,4.471,0.946,0
4259,152.1515007,26.347,86.57,362,6217,4.472,0.989,0
4262,156.5165515,12.2541,61.35,367,6002,4.354,1.084,0
4264,313.0933124,14.5548,48.43,207,5067,4.596,0.673,0
4265,157.3222084,21.9712,57.35,351,6109,4.472,0.989,0
4267,421.4296796,9.3151,8312.25,335,6235,4.034,1.708,0
4269,204.7407266,20.6002,95.6,399,6502,4.227,1.407,0
4273,290.7778646,12.0556,48.67,222,5207,4.585,0.734,0
4275,204.0327978,17.8266,62.66,273,5551,4.57,0.809,0
4277,58.62156727,8.5241,91.73,385,5232,4.554,0.725,0
4279,65.58366676,5.06293,37.78,372,5514,4.646,0.667,0
4280,394.678215,6.09018,52.04,235,5780,4.505,0.83,0
4281,111.3199069,22.9881,51.71,490,5045,3.733,2.092,0
4282,110.2951448,16.5943,39.36,364,5755,4.493,0.904,0
4283,243.8213157,10.8992,45.02,352,6462,4.311,1.183,0
4287,101.2633693,17.9001,44.41,435,6309,4.413,1.062,0
4288,120.5816904,8.2971,58.32,294,5301,4.635,0.685,0
4292,112.4665174,30.37,191.65,845,7591,3.617,3.708,0
4299,198.4435555,9.9992,38.74,279,5651,4.572,0.792,0
4302,184.5200804,15.3982,25.88,275,5341,4.514,0.776,0
4303,131.7362765,5.29678,56.83,413,5102,3.962,1.669,0
4305,198.0136698,9.7442,53.63,261,5359,4.566,0.708,0
4307,114.9086169,7.7321,43.68,259,4412,4.565,0.737,0
4308,210.3063247,6.67332,106.18,525,7591,4.05,2.017,0
4314,56.40650345,18.6866,26.37,358,5011,4.617,0.647,0
4318,117.6813456,12.759,25.27,440,6428,4.337,1.151,0
4320,100.4013012,9.7612,26.69,420,5903,4.353,1.1,0
4327,249.3625131,8.278,147.95,308,5940,4.352,1.02,0
4330,178.2678707,5.88342,32.83,256,5126,4.578,0.696,0
4333,244.8326998,4.35145,44.19,307,6105,4.443,0.993,0
4366,245.4384279,14.3864,15.2,289,5637,4.383,0.99,0
4367,178.4129728,2.9226,119.75,303,5934,4.577,0.794,0
4386,174.7697201,2.3108,482.12,294,5693,4.574,0.802,0
4389,282.5254856,10.8101,11.24,306,6007,4.34,1.124,0
4400,175.0659015,4.5577,40.28,313,6024,4.566,0.825,0
4404,160.8846509,10.7536,9.16,346,5650,4.313,1.044,0
4406,141.2416467,6.7544,10.64,342,5926,4.519,0.913,0
4407,217.8317626,21.3037,22.02,497,6382,3.764,2.274,0
4410,214.3114164,16.1734,9.33,390,6517,4.241,1.375,0
4412,208.8690864,4.5461,25.57,316,5914,4.421,0.987,0
4424,181.8521027,5.7965,38.53,333,6063,4.476,1.012,0
4425,223.11275,8.9974,46.19,332,6211,4.389,1.056,0
4437,205.5832937,6.0481,41.71,323,6328,4.516,0.915,0
4439,111.0391671,25.616,8.94,335,5470,4.509,0.777,0
4446,227.6625544,5.5015,49.17,319,6124,4.414,1.007,0
4449,213.3990721,6.5065,28.34,423,6953,4.23,1.465,0
4455,115.9943534,2.4524,14.7,265,4530,4.566,0.735,0
4467,130.4191911,3.9863,99.67,569,5767,3.666,2.694,0
4495,164.96162,17.85,44.57,252,5001,4.603,0.664,0
4496,240.7989397,16.442,6.84,283,5911,4.53,0.887,0
4515,186.517042,3.1768,35.61,452,5018,3.639,2.99,0
4516,197.1455277,2.1172,61.72,498,7214,4.093,1.935,0
4520,141.7340273,1.6346,1650.26,380,5993,4.355,1.099,0
4524,440.786134,21.268,6.7,308,6340,4.163,1.393,0
4525,220.1303357,21.445,6.1,389,6340,4.163,1.393,0
4534,288.3130099,5.505,11.26,269,5825,4.504,0.965,0
4539,161.254237,22.505,4.66,303,5555,4.502,0.811,0
4541,54.77127909,37.2938,35.26,777,5145,3.466,3.866,0
4544,290.1402448,2.1317,6.53,245,5551,4.518,0.763,0
4552,161.250252,22.868,5.53,319,5992,4.571,0.816,0
4555,202.117533,4.6168,5.5,293,5817,4.544,0.87,0
4571,161.255001,21.489,4.84,295,5565,4.574,0.802,0
4602,70.9674603,6.8992,2.86,460,5900,4.379,1.002,0
4611,280.48897,30.16,9447.11,268,5869,4.528,0.892,0
4612,152.8277,22.146,32.24,734,4991,2.933,7.506,0
4620,359.06421,15.529,32.64,300,6422,4.369,1.173,0
4621,160.129918,13.176,3.26,338,6075,4.51,0.916,0
4628,59.3627199,14.04,6.06,876,5897,3.455,4.015,0
4629,247.860005,19.474,3.55,305,6351,4.513,0.921,0
4641,66.1543018,5.861,12.61,468,6077,4.471,0.999,0
4642,158.3223602,2.331,51.44,211,4340,4.67,0.572,0
4651,356.53636,5.598,13.31,220,5385,4.532,0.75,0
4655,141.6088561,7.506,2.89,290,5083,4.512,0.844,0
4666,308.5471,18.464,2.36,298,6363,4.444,1.035,0
4673,220.9292307,6.688,4.79,299,5893,4.483,0.941,0
4688,138.9442,10.456,1.97,343,6049,4.552,0.845,0
4696,364.758031,13.006,2.98,166,4386,4.629,0.63,0
4726,178.140456,10.104,2.33,284,5592,4.584,0.782,0
4730,70.7514489,6.079,85.89,441,5771,4.4,0.936,0
4731,175.138819,10.666,2.94,361,6210,4.4,1.1,0
4732,77.79068,5.285,1.78,473,6210,4.4,1.1,0
4736,234.244257,12.929,3.14,335,6299,4.401,1.167,0
4737,133.3036741,7.416,2.71,301,5269,4.543,0.801,0
4738,125.4131177,2.2134,2.3,238,4366,4.624,0.639,0
4745,357.058779,7.9,4.96,242,5754,4.534,0.905,0
4761,168.811174,6.5,1.83,256,4893,4.542,0.761,0
4762,215.959931,9.5,3.14,387,6532,4.255,1.344,0
4774,163.692349,6.856,2.71,280,5334,4.585,0.796,0
4777,169.133455,8.614,1.99,278,5380,4.588,0.779,0
4783,225.262123,14.591,1.96,296,5984,4.508,0.892,0
4788,126.557522,7.923,4.5,524,6501,4.054,1.854,0
4795,87.140633,20.85,23.96,468,6517,4.432,1.051,0
4797,124.828679,6.334,2.31,342,5835,4.554,0.847,0
4802,214.886545,10.11,2.71,266,5375,4.541,0.876,0
4806,101.1114976,8.13,1.47,201,3813,4.767,0.477,0
4808,225.582809,11.181,2.65,312,6184,4.488,0.959,0
4819,184.771853,9.706,2.17,251,5220,4.631,0.677,0
4833,110.458419,12.365,1.84,414,6297,4.448,1.031,0
4834,198.088774,8.121,2.74,266,5462,4.592,0.764,0
4841,143.193434,10.5,3.79,380,6007,4.333,1.06,0
4865,122.901388,16.086,2.89,340,5716,4.544,0.872,0
4874,94.446285,8.185,24.25,611,5780,3.729,2.478,0
4898,64.2737752,9.756,4.72,570,6362,4.238,1.378,0
4903,94.176898,7.097,4.33,493,6935,4.409,1.096,0
4910,153.979578,8.994,2.67,330,5858,4.502,0.903,0
4938,66.6430747,2.431,3.15,589,6609,4.234,1.422,0
4944,145.786506,4.681,2.03,353,6014,4.486,0.993,0
4953,173.2578372,2.027,117.29,376,6392,4.399,1.162,0
4975,56.6449279,15.079,1.19,550,6102,4.273,1.201,0
5004,160.850816,9.611,2.35,356,6175,4.44,0.974,0
5008,67.7125988,1.538,82.63,460,6309,4.517,0.847,0
5012,160.4126929,4.424,3.51,271,5278,4.616,0.729,0
5041,174.509835,7.098,1.91,187,4366,4.817,0.455,0
5043,106.953557,6.897,2.63,394,6075,4.486,0.969,0
5046,75.8781266,1.347,3.42,417,5579,4.413,0.972,0
5050,170.994068,3.504,2.34,346,6263,4.489,0.953,0
5054,66.373379,11.181,2.02,471,6139,4.463,0.976,0
5067,122.363553,9.32,1.83,408,6003,4.321,1.144,0
5069,386.370548,10.95,3.15,211,5303,4.571,0.828,0
5073,71.7631693,21.096,4.45,665,5529,3.685,2.817,0
5077,118.668104,15.238,1.79,299,5017,4.531,0.792,0
5107,147.660217,6.163,1.47,164,3668,4.821,0.431,0
5123,85.7565495,5.802,5.18,716,5447,3.453,4.001,0
5126,196.435224,8.602,1.98,276,5536,4.566,0.816,0
5131,79.332118,11.145,1.6,500,6384,4.33,1.15,0
5132,358.818075,2.449,2.48,262,6056,4.47,0.918,0
5133,284.725113,13.08,19.36,279,5802,4.414,0.957,0
5138,154.673607,9.156,2.28,371,6338,4.449,1.002,0
5151,359.05995,21.45,4.18,268,6256,4.493,0.932,0
5152,58.7483786,3.372,1.7,425,5574,4.505,0.805,0
5160,114.34219,13.001,2.05,428,6257,4.377,1.186,0
5176,132.778041,5.624,10.38,357,5780,4.438,1,0
5210,158.349944,6.909,3.2,409,6517,4.349,1.278,0
5215,140.252515,6.651,1.73,257,4771,4.586,0.696,0
5226,54.333867,10.157,1.33,513,5689,4.27,1.101,0
5237,105.997113,3.771,1.98,373,6068,4.568,0.829,0
5243,75.2120067,3.096,1.74,446,6122,4.487,0.964,0
5273,207.247959,6.355,1.93,194,4243,4.632,0.629,0
5276,91.956432,13.19,1.69,429,5918,4.349,1.018,0
5285,122.746744,8.035,9357.19,349,5623,4.485,0.981,0
5288,119.69218,11.24,1.08,410,5963,4.321,1.176,0
5323,54.081153,6.472,1.65,436,5770,4.585,0.776,0
5344,101.951829,5.989,1.36,428,6210,4.407,1.054,0
5352,53.28572,6.455,1.32,537,6015,4.297,1.057,0
5371,112.306839,5.63,1.56,260,4569,4.615,0.653,0
5374,177.669112,8.769,2.2,246,4907,4.599,0.739,0
5376,92.263714,9.862,1.96,457,6343,4.411,1.137,0
5389,56.447048,7.006,1.31,515,5993,4.36,1.087,0
5397,51.5676874,5.206,1.3,433,5285,4.467,0.876,0
5416,82.401233,6.38,2.35,463,6195,4.407,1.124,0
5422,115.238747,5.373,2.07,353,5817,4.544,0.87,0
5456,147.386541,9.744,3.07,356,6046,4.478,1.007,0
5481,63.092904,6.95,3.06,573,6622,4.331,1.325,0
5486,50.8808562,6.151,1.46,418,5415,4.556,0.728,0
5521,420.929608,17.384,97.31,292,6462,4.322,1.177,0
5522,59.4038121,9.621,1.61,570,6373,4.256,1.209,0
5533,65.751633,7.25,1.84,455,6088,4.511,0.913,0
5539,359.02674,14.21,6.63,181,4596,4.59,0.696,0
5542,293.5052772,3.4532,111.56,245,5561,4.561,0.854,0
5544,73.3378513,9.026,93.7,620,7216,4.254,1.44,0
5548,282.5363177,10.3053,113.93,360,6401,4.175,1.41,0
5554,155.045322,10.814,24518.8,605,6910,3.831,2.737,0
5558,180.4117913,3.272,8.3,329,6032,4.485,0.973,0
5560,623.0048527,23.5547,67.57,232,5695,4.277,1.246,0
5564,287.378949,18.886,5.4,253,5645,4.526,0.838,0
5570,100.345386,7.929,1.56,354,5313,4.441,0.9,0
5578,276.88125,3.769,6933.48,239,5511,4.597,0.758,0
5584,78.60435452,4.6607,35.74,438,5938,4.427,0.985,0
5585,491.08027,7.42,1.86,241,5931,4.396,0.997,0
5590,230.180609,13.353,6.39,313,6085,4.439,1.007,0
5603,535.93723,11.85,1.83,227,6014,4.494,0.958,0
5608,146.943366,14.482,2.8,425,6434,4.266,1.236,0
5612,171.030621,10.84,2.39,358,6054,4.363,1.074,0
5615,550.859839,14.592,1.98,240,6241,4.45,1.031,0
5616,273.6858196,8.4085,36.49,299,6126,4.414,0.976,0
5629,220.719361,8.056,2.2,235,5139,4.627,0.698,0
5630,281.59155,5.604,7.55,225,5314,4.624,0.719,0
5631,103.722779,6.129,1.54,359,5721,4.537,0.841,0
5634,389.311179,4.964,6.42,245,5731,4.44,0.958,0
5639,200.7997776,7.6521,48.6,303,5896,4.518,0.916,0
5645,396.042616,18.173,92.08,318,5328,3.863,1.926,0
5651,200.2371814,23.75,11.62,325,6108,4.471,0.997,0
5657,265.74292,20.569,2.95,375,6543,4.203,1.48,0
5669,137.396511,18.46,2.9,517,5425,3.704,2.655,0
5671,297.71402,13.413,45.69,706,4916,2.572,10.801,0
5676,472.2266389,4.9123,48.1,217,5763,4.55,0.848,0
5678,76.378033,4.952,7.24,241,3877,4.673,0.586,0
5679,55.2490054,5.16369,60.35,496,6063,4.476,1.012,0
5681,124.885607,8.601,1.74,435,6103,4.209,1.234,0
5683,237.819766,10.326,2.78,326,6202,4.395,1.11,0
5687,74.624269,8.85,1.91,448,6187,4.499,0.937,0
5692,509.997402,8.481,2.62,182,5037,4.54,0.756,0
5693,56.6468656,4.505,1.94,378,5025,4.561,0.785,0
5699,448.303558,12.713,1.66,232,6070,4.546,0.812,0
5701,351.2879001,11.2584,40.56,252,5911,4.519,0.914,0
5707,280.1605704,2.883,672.47,236,5377,4.583,0.797,0
5710,519.7981481,14.9663,46.12,250,6254,4.418,1.064,0
5714,100.3036973,10.6362,82.25,421,6060,4.397,1.046,0
5718,209.0630238,9.91993,56.57,331,6131,4.412,1.033,0
5719,70.33588472,4.65859,39.48,529,6082,4.215,1.306,0
5723,295.958074,4.348,3.83,349,5364,3.858,1.769,0
5724,120.939411,8.805,2.59,333,5456,4.477,0.843,0
5728,397.395705,6.0935,45.99,244,5753,4.448,0.949,0
5729,186.404271,10.46,1.06,336,6351,4.513,0.921,0
5733,374.876239,11.328,4.92,282,5636,4.218,1.354,0
5739,51.510703,4.66,3.27,603,5053,3.824,1.907,0
5747,469.63111,13.556,3.28,202,5484,4.579,0.775,0
5748,116.451879,16.196,3.17,306,5197,4.548,0.736,0
5750,264.4655369,6.3806,4.41,433,6543,3.972,2.04,0
5752,83.500613,14.45,1.69,343,5141,4.526,0.773,0
5753,54.695713,5.467,2.12,405,5299,4.535,0.757,0
5755,140.884708,10.035,1.21,366,6200,4.488,0.958,0
5766,425.47785,17.848,3.22,248,5977,4.473,1.022,0
5768,78.4285969,3.571,55.71,425,5780,4.438,1,0
5772,61.224904,3.797,2.91,526,6362,4.408,1.144,0
5775,65.3558881,2.165,2.61,337,4703,4.55,0.764,0
5790,70.51623323,4.10291,56.55,390,5511,4.531,0.789,0
5793,365.620697,32.263,12.75,215,5273,4.531,0.768,0
5802,178.26391,4.826,3.32,252,4972,4.585,0.777,0
5803,215.737102,7.221,9.68,231,4889,4.574,0.724,0
5808,525.757097,4.915,1.84,174,5192,4.638,0.624,0
5810,113.083949,9.761,1.37,475,6522,4.252,1.271,0
5816,440.160997,11.098,3.28,260,6277,4.435,0.987,0
5819,57.7746338,5.512,1.85,520,6224,4.409,1.083,0
5820,199.06678,13.112,1.19,279,5458,4.498,0.819,0
5821,303.226376,1.802,3.66,274,5952,4.469,0.955,0
5822,240.571886,11.15,2.93,302,6146,4.497,0.943,0
5823,217.792092,3.545,3.31,284,5821,4.554,0.848,0
5824,259.33683,15.979,1.7,281,5906,4.467,0.85,0
5829,287.336725,13.006,2.21,289,5568,4.272,1.123,0
5833,374.41813,17.9,2.42,280,6195,4.407,1.124,0
5836,58.669218,3.712,1.28,450,5548,4.433,0.986,0
5842,466.003777,10.67,5.22,223,5830,4.54,0.876,0
5846,64.71315981,5.64553,64.8,482,6175,4.44,0.974,0
5872,62.7356532,10.6831,89.88,590,6211,4.127,1.44,0
5936,265.2996043,8.9201,32.76,270,5870,4.545,0.867,0
5937,265.2996628,4.537,7.19,270,5870,4.545,0.867,0
5938,265.299876,8.816,5746.71,296,6108,4.471,0.997,0
5939,265.311993,3.553,3.55,296,6108,4.471,0.997,0
5963,282.9656983,21.5699,72.7,280,5999,4.494,0.959,0
5976,453.543999,17.145,3.71,270,6109,4.312,1.179,0
5977,122.8056263,1.93,1.99,418,6109,4.312,1.179,0
6080,73.91781367,7.0594,50.14,484,6300,4.404,1.057,0
6091,567.71329,12.85,3.28,325,6248,3.924,1.996,0
6120,87.87827029,12.8226,55.54,378,5782,4.564,0.822,0
6127,52.883755,7.95,67.44,559,6475,4.405,1.092,0
6133,204.268012,38.04,11.62,236,4907,4.582,0.727,0
6139,50.271712,6.027,3.16,600,6517,4.349,1.278,0
6154,67.41957167,7.6438,49.16,469,6071,4.425,0.962,0
6181,569.45154,13.15,1.9,225,6117,4.496,0.947,0
6211,71.008017,5.395,1.11,419,5847,4.526,0.849,0
6218,76.4533225,5.2683,25.94,291,4831,4.713,0.54,0
6222,61.42252288,3.76794,40.92,325,4858,4.688,0.612,0
6223,566.28176,20.39,2.79,203,5829,4.575,0.802,0
6231,383.61248,12.263,2.3,248,6011,4.522,0.902,0
6250,61.25956798,12.2021,55.1,447,5912,4.532,0.889,0
6252,374.318792,5.96,243.21,241,5997,4.572,0.815,0
6264,521.10826,18.36,1.5,231,5942,4.432,0.947,0
6267,631.632,16.13,1.56,201,5689,4.493,0.894,0
6268,252.1642984,23.976,37.95,243,5427,4.596,0.751,0
6271,73.89416307,9.49703,39.5,392,5442,4.469,0.841,0
6278,63.68194727,12.6029,71.65,486,5979,4.386,1.054,0
6286,91.649983,10.294,2.27,568,6705,4.145,1.608,0
6294,501.90703,12.43,1.83,254,6316,4.413,1.036,0
6304,225.66716,16.6,1.94,331,6363,4.444,1.035,0
6305,541.740761,12.488,3.52,247,6363,4.444,1.035,0
6323,611.09299,15.22,1.53,215,6032,4.508,0.929,0
6369,486.77832,15.29,9.3,409,5039,3.295,4.95,0
6381,129.839927,14.324,1.53,385,6133,4.427,1.032,0
6406,58.64379,24.44,1.05,437,5833,4.537,0.775,0
6410,345.1846996,6.5509,43.41,257,5712,4.424,0.971,0
6441,74.98528891,6.23826,49.37,425,5955,4.52,0.91,0
6448,410.88527,24.1,200346,774,5015,2.34,18.489,0
6449,74.371666,12.59,2.39,767,6865,3.742,2.211,0
6460,53.22042183,17.717,29.45,528,5830,4.27,1.077,0
6502,76.01814341,13.4864,63.78,652,6703,4.018,1.892,0
6519,439.21978,9.392,1.81,266,6553,4.479,0.962,0
6524,485.52409,11.04,6149.09,191,5227,4.584,0.8,0
6547,359.534371,24.205,64333.8,491,5087,3.183,5.899,0
6549,534.86668,8.19,4.3,328,6668,4.074,1.791,0
6577,498.27269,8.92,2.12,214,5618,4.514,0.932,0
6585,63.52020564,17.1728,29.98,520,5066,3.974,1.659,0
6588,383.85362,9.76,2.78,314,6675,4.341,1.293,0
6630,455.6333,13.304,2.96,228,5883,4.53,0.892,0
6661,548.08441,17.66,2.35,222,5780,4.438,1,0
6721,281.502787,56.77,455.14,672,4795,2.634,9.57,0
6724,552.8295879,16.1525,55.49,229,5956,4.403,0.929,0
6727,533.6593,12.81,1.92,205,5695,4.556,0.839,0
6733,75.906736,11.64,0.63,507,6140,4.248,1.206,0
6742,321.00742,13.01,3.7,351,5258,3.771,2.004,0
6769,70.37627256,6.44453,41.25,375,5463,4.594,0.759,0
6816,129.220949,6.63,1.6,290,4989,4.522,0.789,0
6820,53.64707263,19.9654,120.65,704,5268,3.611,2.497,0
6826,593.19521,25.65,1.63,234,6103,4.391,1.03,0
6861,384.843022,10.367,1.13,220,5578,4.578,0.794,0
6885,502.20642,9.39,2.18,212,6018,4.615,0.733,0
6918,279.012698,25.35,7218.97,322,6338,4.357,1.143,0
6937,62.519211,2.523,1.9,520,6343,4.411,1.137,0
6938,97.991193,4.834,1.3,466,6484,4.377,1.173,0
6975,64.1983721,0.934,1.74,506,6088,4.329,1.077,0
6979,82.784677,8.485,1.53,450,5833,4.292,1.047,0
6982,441.17369,14.82,2.27,217,5610,4.551,0.858,0
6987,50.44029716,12.1792,39.69,597,6237,4.241,1.269,0
7026,407.14656,23.26,1.18,272,5845,4.282,1.198,0
7027,487.83894,32.77,3.94,298,5421,3.882,1.877,0
7057,80.70602378,6.9506,16.48,428,6053,4.494,0.949,0
7067,542.52829,11.06,1.07,266,6099,4.204,1.212,0
7071,317.058383,9.875,1.53,221,5370,4.599,0.73,0
7084,299.70688,15.39,1.15,237,5606,4.597,0.76,0
7100,581.0723,15.81,161858,639,5026,2.504,16.891,0
7132,134.413808,13.907,1.69,391,6013,4.37,1.187,0
7145,659.34575,18.01,3.8,325,6923,4.049,1.92,0
7164,58.28810808,21.6347,42.86,462,5463,4.353,1.044,0
7178,50.46702735,8.97296,44.64,523,6137,4.448,1.012,0
7179,198.11309,15.59,1.09,399,6163,4.144,1.486,0
7194,377.502629,12.124,2.37,266,6137,4.46,1.018,0
7232,50.0122,3.426,1.2,432,5357,4.503,0.814,0
7288,323.28505,25.09,1.86,305,6257,4.342,1.136,0
7310,65.4317317,12.259,59.14,490,6201,4.431,1.04,0
7319,392.50115,9.88,1.9,225,5128,4.388,0.988,0
7347,60.2973933,14.2525,64.2,481,5995,4.434,0.977,0
7386,498.68845,17.88,2.44,246,6184,4.448,1.038,0
7391,563.94854,15.631,2.55,209,5853,4.544,0.868,0
7398,374.51648,6.088,73.1,220,5714,4.627,0.711,0
7402,374.514471,6.629,139.55,295,6446,4.381,1.155,0
7403,482.62011,12.86,1.98,263,6315,4.389,1.095,0
7413,451.86579,13.47,1.85,464,9024,4.154,2.005,0
7414,491.52571,12.43,1.43,159,4541,4.608,0.669,0
7416,608.20572,13.63,1.46,143,4486,4.642,0.646,0
7417,480.03759,16.25,1.14,109,3622,4.826,0.43,0
7436,366.084069,11.253,2.19,257,5941,4.464,0.945,0
7437,439.1076969,26.2259,24.7,221,5810,4.567,0.811,0
7438,414.45008,19.15,7.01,364,7037,4.136,1.683,0
7440,328.32211,13.53,1.3,193,4906,4.648,0.668,0
7441,381.97977,15.7,1.55,132,3761,4.724,0.526,0
7442,67.412998,9.1,1.57,572,6525,4.248,1.359,0
7448,293.70696,11.03,6140.44,274,6054,4.508,0.893,0
7450,342.5539898,73.9041,829.41,738,4857,2.422,14.219,0
7451,362.747593,16.45,2.51,384,6176,3.885,2.16,0
7454,589.74851,12.74,2.03,217,6003,4.507,0.932,0
7455,235.2976173,87.013,82.92,585,4894,2.968,5.568,0
7464,677.35794,9.698,7.12,388,6335,3.593,3.523,0
7468,466.08101,23.69,2.13,305,6098,4.097,1.59,0
