koi_period,koi_duration,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,label
2.204735365,3.88216,16.39,2025,6350,4.021,1.991,1
3.849371501,2.6605,13.1,2035,6244,3.657,2.992,1
1.334104268,3.0142,50.73,2166,6178,4.106,1.58,1
3.213668628,3.99355,4.14,1507,5781,4.105,1.533,1
1.160153243,1.4127,2,1752,5842,4.433,0.985,1
3.522498573,3.19061,14.83,1521,6225,4.169,1.451,1
1.763587569,3.18137,25.8,3560,9107,3.867,3.031,1
2.947375658,1.9659,5.89,2405,8090,4.002,2.234,1
3.012476803,3.0952,92.01,2290,8605,4.195,1.878,1
0.895278174,2.919,12.63,4255,8040,3.707,3.325,1
3.548465405,4.57705,15.28,1640,6290,4.074,1.746,1
1.203200978,1.9184,33.12,2124,6218,4.198,1.349,1
2.086076093,2.2881,7.7,1502,6129,4.425,0.929,1
1.141876914,3.97377,115.17,2182,6158,4.152,1.368,1
0.925588053,1.8353,45.27,6642,4094,1.627,24.488,1
1.633460327,3.6195,23.3,1749,6283,4.372,1.091,1
1.95108234,1.689,10.29,2007,5302,3.767,2.437,1
0.837491331,1.8076,1.45,1968,5627,4.342,1.056,1
2.154909039,3.1774,1.5,1726,6169,4.236,1.424,1
0.828206494,2.5558,3.95,2476,5826,4.031,1.624,1
1.735136026,2.27889,3.76,1664,5731,4.265,1.231,1
1.612249044,4.248,73.88,2567,6737,3.896,2.32,1
4.46454939,2.9386,3.46,1602,6093,3.91,1.985,1
0.708620008,1.5088,1.25,1915,5700,4.515,0.87,1
1.720861324,2.03459,12.53,1681,6195,4.407,1.124,1
1.485710952,2.2873,14.8,1561,5624,4.432,1.018,1
0.838597488,1.70499,31.69,2013,6253,4.503,0.927,1
1.824649322,4.2301,6.66,1508,6190,4.487,0.793,1
4.157439616,7.3664,41.54,1533,6535,4.161,1.552,1
1.281328525,0.9834,2.32,1565,5916,4.573,0.788,1
2.683396375,1.9112,3.06,1820,6953,4.23,1.465,1
2.976012156,3.4697,1.61,1548,5960,4.133,1.369,1
4.791802688,2.9597,145.9,1564,6492,4.023,1.763,1
1.089077452,2.4641,1.39,1913,6283,4.459,1.01,1
1.88897906,3.246,1.03,1717,6049,4.257,1.251,1
3.10763873,2.274,16.16,3961,4173,1.857,18.939,1
2.024145594,2.5008,1.98,1610,5726,4.219,1.243,1
1.827082299,1.95666,6.18,1876,5311,3.864,1.769,1
2.442944564,4.0701,72.02,1587,5657,4.121,1.428,1
1.411627993,1.0389,2.86,1941,6657,4.394,1.127,1
1.168310262,1.3106,1.47,1579,5509,4.487,0.857,1
1.575631547,2.56035,20.99,1578,6202,4.537,0.858,1
1.732345491,2.2254,1.27,1512,5988,4.507,0.934,1
1.576344561,3.1839,4.54,1796,5087,3.967,1.666,1
2.217038392,2.536,4.07,1699,6517,4.349,1.278,1
1.616883696,1.5845,2.54,1536,5417,4.325,1.066,1
1.583160256,1.1207,3.08,1619,6063,4.476,1.012,1
2.061907358,1.8687,1.66,1562,6020,4.356,1.093,1
