koi_period,koi_duration,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,label
0.608185086,0.7646,48.68,2302,5981,4.372,1.043,1
0.85609532,0.584,0.99,1603,5285,4.566,0.775,1
0.814278497,1.988,0.8,1763,5537,4.539,0.886,1
1.23512642,4.14,0.4,1654,5746,4.468,0.954,1
1.89872895,1.315,0.99,1525,5942,4.439,1.05,1
1.45730286,3.69,0.9,1732,6225,4.45,1.031,1
0.96284096,2.583,0.83,1645,5561,4.557,0.836,1
0.566795449,2.861,0.68,2270,5864,4.411,1.04,1
1.12402161,2.975,0.68,1718,5941,4.519,0.911,1
0.566805787,3.28,0.71,2548,6435,4.386,1.128,1
0.706416004,0.984,1.08,2842,6514,4.09,1.585,1
1.97513859,3.347,1,1503,5571,4.31,1.145,1
1.018348545,4.471,1.16,2356,6161,4.129,1.616,1
1.23144658,3.713,0.48,1918,6015,4.285,1.15,1
0.876848974,1.498,0.83,1981,6168,4.488,0.96,1
3.0032416,2.124,3.49,1826,6606,4.071,1.768,1
0.79060666,3.385,21.96,1507,5038,4.601,0.667,1
0.681137877,2.72954,46.44,2028,5872,4.474,0.864,1
1.84370247,20.714,22.87,1627,6032,4.358,1.114,1
1.523274489,4.873,66.56,4284,4695,2.457,14.205,1
1.89124801,6.909,37.65,4478,4449,2.031,14.894,1
2.858881834,2.3282,10286.9,3637,4893,2.501,16.274,1
2.311635216,2.413,41.5,4074,4883,2.439,18.427,1
2.945413768,2.7081,57.62,3917,4584,2.185,19.255,1
0.523494855,0.8068,0.91,2529,6124,4.35,1.139,1
2.976011944,6.52442,105.2,1698,6582,4.168,1.426,1
1.606003041,4.90498,68.83,1675,6420,4.492,0.941,1
1.540390876,1.8254,34.29,4379,4964,2.562,15.155,1
1.540391816,1.9896,2.84,1501,5466,4.396,0.946,1
0.8880456,2.214,1.09,2163,6313,4.373,1.122,1
0.523630206,3.4743,53.58,1937,5407,4.535,0.745,1
0.523629857,2.186,0.97,5315,8277,3.693,3.518,1
1.389947636,1.6901,16.36,1660,5992,4.463,0.947,1
0.534108971,0.8777,2.5,5510,10747,4.1,2.432,1
1.01835891,7.6737,105.03,2301,6160,4.144,1.463,1
1.714415022,5.14142,131.63,2049,6351,4.12,1.626,1
0.766298116,1.781,16.31,2161,6267,4.431,0.996,1
4.750256849,2.0234,15.59,1994,5058,3.204,5.048,1
1.87887726,6.4174,115.79,2529,7730,4.088,1.969,1
0.938858024,4.05873,1401.45,7200,4297,1.663,33.474,1
0.939740093,3.682,34.87,7200,4297,1.663,33.474,1
1.928419307,4.0044,93.59,1878,6614,4.259,1.322,1
1.23707854,5.754,22.92,2180,6555,4.24,1.33,1
1.174684111,2.6122,4.16,1899,5974,4.332,1.143,1
0.915784938,2.3237,63.03,2375,6319,4.212,1.423,1
0.668831738,1.1595,115.78,14225,3299,0.146,149.058,1
3.350247222,4.4405,588.18,2243,6915,3.756,2.768,1
0.94459815,4.083,353.84,4159,4909,2.837,8.449,1
0.7820462,3.927,27.43,5791,4486,2.114,13.701,1
0.502807253,1.01493,26.81,1825,5109,4.564,0.715,1
2.845738159,10.8222,396.67,3328,4854,2.585,12.055,1
1.04951083,3.56,0.87,2809,7479,4.162,1.667,1
2.362348616,3.566,195.36,2103,5088,3.502,3.293,1
1.049407202,2.939,22.43,4719,4779,2.426,10.123,1
1.573013787,13.836,43.22,2408,6623,3.948,1.888,1
1.534680255,1.7215,31.85,4592,4961,2.441,15.15,1
0.564933826,2.324,5.2,2207,5808,4.402,0.898,1
1.80454753,2.247,0.67,1576,6006,4.41,1.019,1
